Class%,Class_label,Encapsulation%,Encapsulation_label,Inheritance%,Inheritance_label,Polymorphism%,Polymorphism_label,Constructor%,Constructor_label,Interface%,Interface_label
16.61,Beginner,93.99,Advanced,58.08,Intermediate,65.96,Advanced,35.89,Intermediate,60.88,Advanced
32.51,Intermediate,91.17,Advanced,86.19,Advanced,29.7,Beginner,81.74,Advanced,79.65,Advanced
78.5,Advanced,26.92,Beginner,91.48,Advanced,35.62,Intermediate,65.63,Advanced,40.13,Advanced
25.75,Beginner,99.84,Advanced,58.27,Intermediate,48.13,Intermediate,15.96,Beginner,58.76,Intermediate
72.5,Advanced,35.11,Intermediate,45.16,Intermediate,59.94,Beginner,60.06,Advanced,7.07,Beginner
50.42,Intermediate,70.05,Advanced,91.33,Advanced,100,Advanced,48.6,Intermediate,14.09,Beginner
57.46,Intermediate,83.69,Advanced,95.75,Advanced,60.07,Advanced,51.49,Intermediate,94.79,Intermediate
85.61,Advanced,92.92,Advanced,64.24,Advanced,22.08,Beginner,7.81,Beginner,78.29,Advanced
98.75,Advanced,56.9,Intermediate,83.24,Beginner,24.78,Beginner,27.71,Beginner,92.33,Advanced
100,Advanced,14.48,Beginner,41.92,Intermediate,33.8,Advanced,54.6,Intermediate,14.81,Advanced
54.07,Intermediate,56.69,Intermediate,68.5,Advanced,82.87,Advanced,28.06,Beginner,26.23,Beginner
70.67,Advanced,37.88,Intermediate,39.56,Intermediate,19.9,Beginner,39.38,Intermediate,21.49,Beginner
18.85,Beginner,9.91,Advanced,9,Beginner,68.07,Advanced,16.21,Beginner,25.48,Beginner
20.49,Beginner,32.86,Intermediate,25.32,Beginner,25.96,Beginner,6.15,Beginner,52.68,Intermediate
79.36,Advanced,91.98,Advanced,7.69,Beginner,33.66,Intermediate,57.49,Intermediate,60.19,Advanced
42.67,Intermediate,54.59,Intermediate,17.49,Beginner,46.28,Intermediate,21.87,Beginner,30.69,Advanced
0,Beginner,15.77,Beginner,70.96,Advanced,57.42,Intermediate,87.58,Advanced,94.61,Advanced
19.76,Beginner,17.52,Beginner,30.79,Intermediate,34.05,Intermediate,66.69,Advanced,5.03,Beginner
58.96,Intermediate,60.07,Advanced,22.57,Intermediate,61.26,Advanced,88.31,Advanced,12.56,Beginner
32.47,Intermediate,87.19,Advanced,35.38,Intermediate,91.28,Advanced,91.24,Advanced,56.18,Intermediate
